scenario,mode,strategy,seed_code,seed_value,days_survived,ending_type,ending_cause,encounters_faced,vehicle_breakdowns,final_hp,final_supplies,final_sanity,final_budget_cents,boss.reached,boss_won,miles_traveled,travel_days,partial_travel_days,non_travel_days,avg_mpd,unique_encounters,repairs_spent_cents,bribes_spent_cents,exec_order_active,exec_order_days_remaining,exec_order_cooldown,exposure_streak_heat,exposure_streak_cold,days_with_camp,days_with_repair,travel_ratio,unique_per_20_days,rotation_events,reached_2k_by_150,crossing_events,crossing_permit_uses,crossing_bribe_attempts,crossing_bribe_successes,crossing_detours_taken,crossing_failures,crossing_failure_rate,crossing_bribe_success_rate,day_reason_history,endgame_active,endgame_field_repair_used,endgame_cooldown_days,stop_cap_conversions
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1337,132,"Sanity Depleted - Game Over","sanity",34,24,10,18,0,900,true,false,2100.0,107,7,17,18.42,25,0,0,"",0,0,0,1,20,24,0.870,3.82,33,true,4,0,0,0,1,0,0.000,0.000,"|||||||repair|||||repair||repair||camp|||||||||||repair|||||repair||crossing_pass|||camp||||||||camp|||repair;camp||camp|repair||repair;camp||||||repair;camp||repair||||camp|||||repair||repair|camp||repair;detour|crossing_pass|camp|||repair||camp|repair||repair;camp|||||||repair|||camp|repair||repair|||camp|repair||camp||repair|||repair|||camp||repair;camp|||crossing_pass||camp|||||camp|repair|||camp||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1338,120,"Sanity Depleted - Game Over","sanity",30,6,10,20,0,4900,true,false,2100.0,102,10,7,18.75,27,0,1500,"",0,1,0,0,14,6,0.941,4.54,29,true,3,0,1,1,0,0,0.000,1.000,"|||||repair|||||||||camp|||||||||||camp||||||||||camp|crossing_pass||||||repair||camp|||||||||camp|||camp||||||||camp|||||||crossing_pass||||||||camp|repair||camp|repair||||||||camp||||||camp|||||camp|repair|||||camp|crossing_pass|||||||camp||repair",false,false,2,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1339,39,"Collapse (crossing) - Game Over","collapse_crossing",11,0,10,10,4,200,false,false,651.8,35,1,2,18.11,10,0,0,"",0,0,1,0,2,0,0.947,5.26,11,false,1,0,0,0,0,1,1.000,0.000,"||||||||||||camp||||camp|||||||||||||||||||||crossing_fail",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1340,119,"Sanity Depleted - Game Over","sanity",30,9,10,15,0,2000,true,false,2097.7,103,9,6,18.73,26,0,0,"",0,0,0,0,12,9,0.949,4.41,27,true,3,0,0,0,0,0,0.000,0.000,"|||||||||||||camp||||||||camp|||||||||||||||crossing_pass||||||||||||||camp||||||||||camp|||||||||repair;crossing_pass||||camp|repair|||||||camp|||repair|||||repair||camp||repair||repair;camp||camp|repair|||||repair|||camp||crossing_pass|||camp||||camp||",false,false,2,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1341,129,"Victory - Boss Defeated","boss.victory",30,18,10,14,1,2100,true,true,2100.0,107,8,13,18.26,23,0,0,"",0,0,0,0,18,18,0.898,3.59,29,true,3,0,0,0,0,0,0.000,0.000,"|||||repair||repair|||camp|||camp|||||||||||||||||||camp||||camp|||||crossing_pass|||||||repair;camp||camp|repair|||||repair||repair;camp||repair||camp|||camp|repair||repair;camp||||||||repair|crossing_pass|||||camp||repair|||||repair||repair|||||camp||||camp|repair||camp|||repair|||repair|||camp|||crossing_pass|camp||||camp|repair|||repair||camp|",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1342,71,"Collapse (crossing) - Game Over","collapse_crossing",23,1,10,12,6,200,false,false,1260.3,63,5,2,18.53,15,0,0,"",0,0,0,0,5,1,0.971,4.29,19,false,2,0,0,0,0,1,0.500,0.000,"|||||||||||||||camp|||||camp||||||||||||||repair|crossing_pass|||||||camp|||||camp|||||||||||||||||||||camp|crossing_fail",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1343,120,"Sanity Depleted - Game Over","sanity",39,11,10,18,0,1200,true,false,2100.0,102,10,7,18.75,29,0,0,"",0,0,0,0,14,11,0.941,4.87,38,true,3,0,0,0,0,0,0.000,0.000,"||||||||||repair||||camp||||||||||||||camp|||||||crossing_pass||||||camp||repair|||||||||||||camp|||repair|||||||camp||||crossing_pass|||||camp||||repair||camp||||repair||camp|camp||repair||||camp|repair||camp||repair|||camp|||||repair;camp|crossing_pass||repair||camp|repair|||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1344,41,"Collapse (crossing) - Game Over","collapse_crossing",10,1,10,9,6,200,false,false,665.2,35,2,3,17.98,10,0,0,"",0,0,0,0,4,1,0.925,5.00,9,false,1,0,0,0,0,1,1.000,0.000,"||||||||||||camp|||||||camp||||||||||||camp||||camp||repair||stop_cap;crossing_fail",false,false,0,1
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1345,119,"Sanity Depleted - Game Over","sanity",34,6,10,15,0,7100,true,false,2084.8,100,10,8,18.95,30,0,1500,"",0,0,0,0,14,6,0.932,5.08,33,true,4,0,1,1,1,0,0.000,1.000,"||||||||||||||||||camp||||||||repair|camp||repair|||||detour|crossing_pass||||||||||||||||||||camp||||||||repair|||camp||crossing_pass||camp||||||camp||repair||||||camp||||camp||repair|camp|||||||camp|||||||camp|crossing_pass|repair||camp|||camp|||||camp",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1346,133,"Sanity Depleted - Game Over","sanity",38,19,10,15,0,600,true,false,2100.0,107,10,15,17.95,29,0,0,"",0,0,0,0,22,19,0.886,4.39,36,true,3,0,0,0,0,0,0.000,0.000,"|||||||||repair|||camp|||||||repair|||repair;camp|||repair||||camp||||camp||camp|||crossing_pass||||camp||||||camp|camp||||repair||||repair;camp||||||||repair||camp||||repair||camp|repair||crossing_pass|repair||camp||camp||repair|||||camp||||||camp|repair|||repair||camp||repair||repair;camp|||repair;camp||||||||camp|repair||crossing_pass|||||camp|repair|||repair;camp|||camp|",false,false,0,0
