scenario,mode,strategy,seed_code,seed_value,days_survived,ending_type,ending_cause,encounters_faced,vehicle_breakdowns,final_hp,final_supplies,final_sanity,final_budget_cents,boss.reached,boss_won,miles_traveled,travel_days,partial_travel_days,non_travel_days,avg_mpd,unique_encounters,repairs_spent_cents,bribes_spent_cents,exec_order_active,exec_order_days_remaining,exec_order_cooldown,exposure_streak_heat,exposure_streak_cold,days_with_camp,days_with_repair,travel_ratio,unique_per_20_days,rotation_events,reached_2k_by_150,crossing_events,crossing_permit_uses,crossing_bribe_attempts,crossing_bribe_successes,crossing_detours_taken,crossing_failures,crossing_failure_rate,crossing_bribe_success_rate,day_reason_history,endgame_active,endgame_field_repair_used,endgame_cooldown_days,stop_cap_conversions
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1351,26,"Victory - Boss Defeated","boss.victory",8,1,9,18,1,12900,true,true,2100.0,23,0,3,131.29,8,0,2500,"",0,3,1,0,3,1,0.885,6.15,6,true,3,0,2,2,0,0,0.000,1.000,"||||crossing_pass|repair|||||crossing_pass||camp|||camp||||crossing_pass|||camp|||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1391,14,"Collapse (crossing) - Game Over","collapse_crossing",7,0,9,9,9,300,false,false,1253.2,12,1,1,138.62,7,0,0,"",0,4,0,0,1,0,0.929,7.00,4,false,2,0,0,0,0,1,0.500,0.000,"|||||camp|crossing_pass|||||||crossing_fail",false,false,0,0
"Classic - Balanced","Classic","Balanced","CL-ORANGE02",1351,25,"Collapse (breakdown) - Game Over","collapse_breakdown",8,1,0,16,6,16800,false,false,2359.2,23,0,1,126.35,8,3100,3500,"",0,0,1,0,2,1,0.958,6.67,7,true,3,0,3,3,0,0,0.000,1.000,"||||crossing_pass||repair|||crossing_pass||camp|||camp|||crossing_pass||||||",false,false,0,0
"Classic - Balanced","Classic","Balanced","CL-ORANGE02",1391,11,"Collapse (crossing) - Game Over","collapse_crossing",5,0,6,17,8,6900,false,false,1266.1,10,0,0,155.96,5,0,2000,"",0,3,0,0,1,0,1.000,5.00,3,false,2,0,2,1,0,1,0.500,0.500,"||||crossing_pass|camp||||",false,false,0,0
"Classic - Conservative","Classic","Conservative","CL-ORANGE02",1351,27,"Victory - Boss Defeated","boss.victory",10,0,10,18,4,23400,true,true,2100.0,26,1,0,112.47,10,0,3200,"",0,0,0,0,2,0,1.000,7.41,7,true,3,0,3,3,0,0,0.000,1.000,"||||||crossing_pass||||||crossing_pass|camp||||||||camp|crossing_pass||||",false,false,0,0
"Classic - Conservative","Classic","Conservative","CL-ORANGE02",1391,29,"Boss Vote Failed - Game Over","boss_vote_failed",10,0,10,17,4,23400,true,false,2100.0,28,0,1,108.46,10,0,3200,"tariff_tsunami",1,0,0,0,2,0,0.966,6.90,7,true,3,0,3,2,1,0,0.000,0.667,"|||||camp||crossing_pass||||||detour||camp||||||||crossing_pass|||||",false,false,0,0
"Classic - Resource Manager","Classic","Resource Manager","CL-ORANGE02",1351,24,"Victory - Boss Defeated","boss.victory",7,1,10,17,2,20200,true,true,2100.0,22,1,1,127.00,7,3100,3500,"",0,3,1,0,1,1,0.958,5.83,6,true,3,0,3,3,0,0,0.000,1.000,"|||||crossing_pass|repair||||crossing_pass|||camp|||||crossing_pass|||||",false,false,0,0
"Classic - Resource Manager","Classic","Resource Manager","CL-ORANGE02",1391,24,"Boss Vote Failed - Game Over","boss_vote_failed",11,0,8,18,4,25100,true,false,2100.0,24,0,0,121.71,11,0,3500,"",0,0,0,0,2,0,1.000,9.17,7,true,3,0,3,2,1,0,0.000,0.667,"|||||camp|crossing_pass|||||detour||||camp|||||crossing_pass|||",false,false,0,0
"Deep - Aggressive","Deep","Aggressive","DP-ORANGE02",1351,24,"Victory - Boss Defeated","boss.victory",9,1,8,14,1,12900,true,true,2067.6,20,2,2,135.14,9,0,4000,"",0,0,1,0,3,1,0.917,7.50,6,true,3,0,3,3,0,0,0.000,1.000,"||||crossing_pass|repair|||||crossing_pass||camp|||camp||endgame_activate;endgame_active|endgame_active|endgame_active;crossing_pass;camp|endgame_active|endgame_active|endgame_active|",true,false,0,0
"Deep - Aggressive","Deep","Aggressive","DP-ORANGE02",1391,26,"Sanity Depleted - Game Over","sanity",11,0,10,15,0,11900,true,false,2067.6,23,2,1,118.92,11,0,3000,"",0,8,0,0,3,0,0.962,8.46,7,true,3,0,2,1,1,0,0.000,0.500,"|||||camp|crossing_pass||||||detour|||camp||||endgame_activate;endgame_active|endgame_active|endgame_active;crossing_pass|camp|endgame_active|endgame_active|",true,false,0,0
