scenario,mode,strategy,seed_code,seed_value,days_survived,ending_type,ending_cause,encounters_faced,vehicle_breakdowns,final_hp,final_supplies,final_sanity,final_budget_cents,boss.reached,boss_won,miles_traveled,travel_days,partial_travel_days,non_travel_days,avg_mpd,unique_encounters,repairs_spent_cents,bribes_spent_cents,exec_order_active,exec_order_days_remaining,exec_order_cooldown,exposure_streak_heat,exposure_streak_cold,days_with_camp,days_with_repair,travel_ratio,unique_per_20_days,rotation_events,reached_2k_by_150,crossing_events,crossing_permit_uses,crossing_bribe_attempts,crossing_bribe_successes,crossing_detours_taken,crossing_failures,crossing_failure_rate,crossing_bribe_success_rate,day_reason_history,endgame_active,endgame_field_repair_used,endgame_cooldown_days,stop_cap_conversions
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1337,23,"Victory - Boss Defeated","boss.victory",8,1,10,20,2,15000,true,true,2100.0,21,1,1,137.25,8,0,2500,"",0,6,0,0,1,1,0.957,6.96,6,true,3,0,2,2,1,0,0.000,1.000,"||||repair;crossing_pass|||||detour||||||||camp|crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1338,22,"Boss Vote Failed - Game Over","boss_vote_failed",7,1,9,18,4,15500,true,false,2100.0,21,1,0,137.25,7,0,3500,"",0,0,0,0,0,1,1.000,6.36,6,true,3,0,3,3,0,0,0.000,1.000,"|repair|||crossing_pass||||crossing_pass|||||||||crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1339,22,"Victory - Boss Defeated","boss.victory",7,0,9,20,4,17000,true,true,2100.0,22,0,0,137.25,7,0,3500,"",0,6,0,0,0,0,1.000,6.36,6,true,3,0,3,2,1,0,0.000,0.667,"||||detour|||||crossing_pass||||||||crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1340,22,"Victory - Boss Defeated","boss.victory",7,0,8,17,3,17400,true,true,2100.0,21,1,0,137.25,7,0,3500,"",0,0,0,0,0,0,1.000,6.36,5,true,3,0,3,3,0,0,0.000,1.000,"||||crossing_pass||||crossing_pass|||||||||crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1341,22,"Victory - Boss Defeated","boss.victory",8,0,10,20,4,15900,true,true,2100.0,22,0,0,137.25,8,0,3500,"",0,0,0,0,0,0,1.000,7.27,5,true,3,0,3,3,0,0,0.000,1.000,"||||crossing_pass|||||crossing_pass||||||||crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1342,22,"Boss Vote Failed - Game Over","boss_vote_failed",7,0,10,18,4,16900,true,false,2100.0,22,0,0,137.25,7,0,3500,"",0,0,0,0,0,0,1.000,6.36,6,true,3,0,3,2,1,0,0.000,0.667,"||||crossing_pass||||detour|||||||||crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1343,22,"Boss Vote Failed - Game Over","boss_vote_failed",7,0,10,20,3,16500,true,false,2100.0,22,0,0,137.25,7,0,3500,"",0,0,0,0,0,0,1.000,6.36,5,true,3,0,3,3,0,0,0.000,1.000,"||||crossing_pass|||||crossing_pass||||||||crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1344,22,"Boss Vote Failed - Game Over","boss_vote_failed",8,0,10,19,3,17000,true,false,2100.0,21,1,0,137.25,8,0,3500,"",0,0,0,0,0,0,1.000,7.27,6,true,3,0,3,0,3,0,0.000,0.000,"||||detour|||||detour||||||||detour||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1345,21,"Boss Vote Failed - Game Over","boss_vote_failed",6,0,9,19,4,17000,true,false,2100.0,21,0,0,143.79,6,0,3500,"",0,0,1,0,0,0,1.000,5.71,5,true,3,0,3,3,0,0,0.000,1.000,"||||crossing_pass||||crossing_pass||||||||crossing_pass||||",false,false,0,0
"Classic - Aggressive","Classic","Aggressive","CL-ORANGE02",1346,22,"Boss Vote Failed - Game Over","boss_vote_failed",8,1,10,18,4,14800,true,false,2100.0,22,0,0,137.25,8,0,3500,"",0,8,0,0,0,1,1.000,7.27,6,true,3,0,3,3,0,0,0.000,1.000,"||||crossing_pass||||repair|crossing_pass||||||||crossing_pass||||",false,false,0,0
